"PropagatorCount","GraphIndex","TopologyName","RegionType","ZeroVars","RemainingVars","ObstructionRecordQ","HiddenRegionQ","HiddenRegionCount","ValidObstructionTrialCount","CandidateGeneratorCount","GeneratorCount","GeneratorSetFactorCount","SearchMethod","CancellationFactorCount","CancellationFactorClassCounts","AllCancellationFactorsBinomialQ","PolynomialCancellationFactorQ","SLSectorFactorCount","SLSectorFactorClassCounts","SLSectorAllBinomialQ","SLSectorPolynomialFactorQ","AcceptedScalingQ","ScalingVector","AcceptedScalingCount","UniqueAcceptedScalingQ","ScalingStatus","HRFoundWithScalingQ"
"7","2","G_t•","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, -2}","103","False","Scaling vector determined","True"
"7","5","G_•t","Interior","{}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-5-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, 0}","108","False","Scaling vector determined","True"
"7","1","G_s•","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"7","2","G_t•","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"7","3","G_u•","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"7","4","G_•s","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"7","5","G_•t","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"7","6","G_•u","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"8","3","G_tt","Interior","{}","{x0, x1, x2, x3, x4, x5, x6, x7}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-9-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, -2, 0}","111","False","Scaling vector determined","True"
"8","1","G_ss","Boundary","{x6, x7}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"8","2","G_su","Boundary","{x6, x7}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"8","3","G_tt","Boundary","{x6}","{x0, x1, x2, x3, x4, x5, x7}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-5-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, 0}","108","False","Scaling vector determined","True"
"8","3","G_tt","Boundary","{x7}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, -2}","103","False","Scaling vector determined","True"
"8","3","G_tt","Boundary","{x6, x7}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"8","4","G_us","Boundary","{x6, x7}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"8","5","G_uu","Boundary","{x6, x7}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"8","6","G_ts","Boundary","{x6}","{x0, x1, x2, x3, x4, x5, x7}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, -2}","103","False","Scaling vector determined","True"
"8","6","G_ts","Boundary","{x6, x7}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"8","7","G_st","Boundary","{x7}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-5-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, 0}","108","False","Scaling vector determined","True"
"8","7","G_st","Boundary","{x6, x7}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"8","8","G_ut","Boundary","{x7}","{x0, x1, x2, x3, x4, x5, x6}","True","False","0","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-5-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, 0}","108","False","Scaling vector determined","True"
"8","8","G_ut","Boundary","{x6, x7}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
"8","9","G_tu","Boundary","{x6}","{x0, x1, x2, x3, x4, x5, x7}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, -2}","103","False","Scaling vector determined","True"
"8","9","G_tu","Boundary","{x6, x7}","{x0, x1, x2, x3, x4, x5}","True","False","0","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","False","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","False","Scaling vector determined","True"
