"ScanIndex","Family","DiagramIndex","Example03Group","Example03Topology","Example03GraphIndex","Example03PrimaryQ","PropagatorCount","TopologyName","RegionType","ZeroVars","RemainingVars","PreselectionZeroVars","PreselectionEffectivePropagatorCount","F0TermCount","ObstructionRecordQ","ValidObstructionTrialCount","CandidateGeneratorCount","GeneratorCount","GeneratorSetFactorCount","SearchMethod","CancellationFactorCount","CancellationFactorClassCounts","PolynomialCancellationFactorQ","SLSectorFactorCount","SLSectorFactorClassCounts","SLSectorAllBinomialQ","SLSectorPolynomialFactorQ","AcceptedScalingQ","ScalingVector","AcceptedScalingCount","ScalingStatus","HRFoundWithScalingQ"
"2","nonplanar","57","03 seven","G_sbullet","1","True","7","G_sbullet","Boundary","{x5}","{x0, x1, x2, x3, x4, x6}","{x5}","6","5","True","1","1","1","2","GeneratorVanishingIdealQuotient","2","<|""binomial"" -> 2|>","False","2","<|""binomial"" -> 2|>","True","False","True","{-1, -2, -2, -2, -2, -1}","99","Scaling vector determined","True"
"3","nonplanar","50","03 seven","G_tbullet","2","True","7","G_tbullet","Boundary","{x4}","{x0, x1, x2, x3, x5, x6}","{x4}","6","5","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-1, -2, -2, -2, -1, -2}","99","Scaling vector determined","True"
"4","nonplanar","29","03 seven","G_ubullet","3","True","7","G_ubullet","Boundary","{x4}","{x0, x1, x2, x3, x5, x6}","{x4}","6","5","True","1","1","1","2","GeneratorVanishingIdealQuotient","2","<|""binomial"" -> 2|>","False","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -1, -2}","99","Scaling vector determined","True"
"5","nonplanar","32","03 seven","G_bullets","4","True","7","G_bullets","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","{x6}","6","5","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","Scaling vector determined","True"
"6","nonplanar","31","03 seven","G_bullett","5","True","7","G_bullett","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","{x6}","6","5","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","Scaling vector determined","True"
"7","nonplanar","28","03 seven","G_bulletu","6","True","7","G_bulletu","Boundary","{x6}","{x0, x1, x2, x3, x4, x5}","{x6}","6","5","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","Scaling vector determined","True"
"8","nonplanar","99","03 eight","G_ss","1","True","8","G_ss","Boundary","{x5, x7}","{x0, x1, x2, x3, x4, x6}","{x5, x7}","6","5","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","Scaling vector determined","True"
"9","nonplanar","136","03 eight","G_su","2","True","8","G_su","Boundary","{x5, x7}","{x0, x1, x2, x3, x4, x6}","{}","8","5","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-1, -2, -2, -2, -2, -1}","99","Scaling vector determined","True"
"10","nonplanar","90","03 eight","G_tt","3","True","8","G_tt","Boundary","{x4}","{x0, x1, x2, x3, x5, x6, x7}","{x4, x7}","6","10","True","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-5-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, 0}","108","Scaling vector determined","True"
"10","nonplanar","90","03 eight","G_tt","3","True","8","G_tt","Boundary","{x7}","{x0, x1, x2, x3, x4, x5, x6}","{x4, x7}","6","6","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -2, -1}","103","Scaling vector determined","True"
"10","nonplanar","90","03 eight","G_tt","3","True","8","G_tt","Boundary","{x4, x7}","{x0, x1, x2, x3, x5, x6}","{x4, x7}","6","5","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","Scaling vector determined","True"
"11","nonplanar","116","03 eight","G_us","4","True","8","G_us","Boundary","{x4, x7}","{x0, x1, x2, x3, x5, x6}","{}","8","5","True","1","1","1","2","GeneratorVanishingIdealQuotient","2","<|""binomial"" -> 2|>","False","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -1, -2}","99","Scaling vector determined","True"
"12","nonplanar","78","03 eight","G_uu","5","True","8","G_uu","Boundary","{x4, x7}","{x0, x1, x2, x3, x5, x6}","{x4, x7}","6","5","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","Scaling vector determined","True"
"13","nonplanar","144","03 eight","G_ts","6","True","8","G_ts","Boundary","{x7}","{x0, x1, x2, x3, x4, x5, x6}","{x4, x7}","6","6","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-1, -2, -2, -2, -2, -1, -2}","103","Scaling vector determined","True"
"13","nonplanar","144","03 eight","G_ts","6","True","8","G_ts","Boundary","{x4, x7}","{x0, x1, x2, x3, x5, x6}","{x4, x7}","6","5","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-1, -2, -2, -2, -1, -2}","99","Scaling vector determined","True"
"14","nonplanar","151","03 eight","G_st","7","True","8","G_st","Boundary","{x5}","{x0, x1, x2, x3, x4, x6, x7}","{}","8","10","True","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-5-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1, 0}","108","Scaling vector determined","True"
"14","nonplanar","151","03 eight","G_st","7","True","8","G_st","Boundary","{x5, x7}","{x0, x1, x2, x3, x4, x6}","{}","8","5","True","1","1","1","2","GeneratorVanishingIdealQuotient","2","<|""binomial"" -> 2|>","False","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -2, -1}","99","Scaling vector determined","True"
"15","nonplanar","114","03 eight","G_ut","8","True","8","G_ut","Boundary","{x4}","{x0, x1, x2, x3, x5, x6, x7}","{x4, x7}","6","10","True","1","1","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-5-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -1, -2, 0}","108","Scaling vector determined","True"
"15","nonplanar","114","03 eight","G_ut","8","True","8","G_ut","Boundary","{x4, x7}","{x0, x1, x2, x3, x5, x6}","{x4, x7}","6","5","True","1","1","1","2","GeneratorVanishingIdealQuotient","2","<|""binomial"" -> 2|>","False","2","<|""binomial"" -> 2|>","True","False","True","{-2, -1, -2, -2, -1, -2}","99","Scaling vector determined","True"
"16","nonplanar","133","03 eight","G_tu","9","True","8","G_tu","Boundary","{x7}","{x0, x1, x2, x3, x4, x5, x6}","{x4, x7}","6","6","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-1, -2, -2, -2, -2, -2, -1}","103","Scaling vector determined","True"
"16","nonplanar","133","03 eight","G_tu","9","True","8","G_tu","Boundary","{x4, x7}","{x0, x1, x2, x3, x5, x6}","{x4, x7}","6","5","True","2","2","1","2","GeneratorVanishingIdealQuotient","3","<|""binomial"" -> 2, ""polynomial-3-term"" -> 1|>","True","2","<|""binomial"" -> 2|>","True","False","True","{-1, -2, -2, -2, -2, -1}","99","Scaling vector determined","True"
